index,Trivago,Spotify,Microsoft
0,0.032967,0.120231,0.247608
0.01,0.0659341,0.138728,0.285368
0.02,0.0906593,0.146243,0.304099
0.03,0.0961538,0.148555,0.318222
0.04,0.142857,0.149133,0.335121
0.05,0.142857,0.152601,0.344123
0.06,0.142857,0.15896,0.34946
0.07,0.142857,0.160116,0.357976
0.08,0.142857,0.161272,0.363016
0.09,0.142857,0.16185,0.366547
0.1,0.142857,0.163584,0.375387
0.11,0.142857,0.164162,0.380966
0.12,0.145604,0.166474,0.387085
0.13,0.148352,0.168208,0.395467
0.14,0.148352,0.17341,0.398917
0.15,0.151099,0.176879,0.406867
0.16,0.153846,0.176879,0.413282
0.17,0.156593,0.177457,0.420155
0.18,0.159341,0.177457,0.425869
0.19,0.167582,0.177457,0.431663
0.2,0.17033,0.177457,0.438779
0.21,0.173077,0.179191,0.442606
0.22,0.173077,0.181503,0.446325
0.23,0.173077,0.181503,0.45088
0.24,0.175824,0.183237,0.454465
0.25,0.175824,0.184971,0.459505
0.26,0.175824,0.184971,0.463332
0.27,0.178571,0.184971,0.468749
0.28,0.178571,0.186127,0.474733
0.29,0.18956,0.186705,0.478721
0.3,0.18956,0.187861,0.48643
0.31,0.192308,0.190751,0.50066
0.32,0.192308,0.191329,0.512034
0.33,0.197802,0.192486,0.520578
0.34,0.200549,0.195376,0.529229
0.35,0.203297,0.19711,0.535321
0.36,0.203297,0.19711,0.544296
0.37,0.206044,0.197688,0.54947
0.38,0.211538,0.197688,0.555481
0.39,0.211538,0.204046,0.56203
0.4,0.211538,0.206358,0.570951
0.41,0.211538,0.210405,0.579872
0.42,0.211538,0.212717,0.593591
0.43,0.211538,0.217919,0.601811
0.44,0.211538,0.220231,0.610274
0.45,0.214286,0.221965,0.623858
0.46,0.217033,0.223121,0.64771
0.47,0.217033,0.228902,0.659974
0.48,0.217033,0.22948,0.667493
0.49,0.217033,0.236994,0.679083
0.5,0.21978,0.239884,0.689782
0.51,0.21978,0.24104,0.711506
0.52,0.230769,0.248555,0.739186
0.53,0.233516,0.255491,0.745546
0.54,0.247253,0.265896,0.762769
0.55,0.258242,0.271676,0.776649
0.56,0.258242,0.273988,0.793251
0.57,0.258242,0.277457,0.799989
0.58,0.258242,0.284393,0.818613
0.59,0.258242,0.300578,0.847829
0.6,0.258242,0.30578,0.869498
0.61,0.258242,0.315029,0.892866
0.62,0.263736,0.330636,0.911463
0.63,0.263736,0.340462,0.932027
0.64,0.285714,0.350867,0.948037
0.65,0.296703,0.372832,0.974611
0.66,0.296703,0.389017,0.986497
0.67,0.299451,0.40289,0.995014
0.68,0.307692,0.412717,0.997844
0.69,0.362637,0.420231,0.999003
0.7,0.370879,0.431792,0.999784
0.71,0.384615,0.459538,1
0.72,0.395604,0.489017,
0.73,0.508242,0.530058,
0.74,0.513736,0.558382,
0.75,0.565934,0.589595,
0.76,0.601648,0.605202,
0.77,0.604396,0.627746,
0.78,0.607143,0.642197,
0.79,0.629121,0.674566,
0.8,0.662088,0.721965,
0.81,0.68956,0.72948,
0.82,0.804945,0.72948,
0.83,0.815934,0.83815,
0.84,0.815934,0.978613,
0.85,1,1,
