index,Trivago,Spotify,Microsoft
0,0.0812208,0.0110211,0.000955939
1,0.0998443,0.0133529,0.00138739
2,0.110695,0.015625,0.00175332
3,0.121071,0.017873,0.00207619
4,0.128698,0.0199638,0.00238179
5,0.136751,0.0219161,0.00266797
6,0.142018,0.0237279,0.00291159
7,0.144657,0.0251859,0.0030943
8,0.145691,0.0261534,0.00324101
9,0.146044,0.0268882,0.00337838
10,0.146227,0.0275427,0.00351983
11,0.14664,0.0281945,0.00359987
12,0.14675,0.0287206,0.00362026
13,0.147127,0.0292027,0.00367567
14,0.147431,0.0296513,0.00374923
15,0.148526,0.0301764,0.00383949
16,0.150788,0.0310597,0.00396058
17,0.155617,0.032367,0.00412927
18,0.159911,0.0341966,0.00436825
19,0.165276,0.0359704,0.0046582
20,0.170847,0.0382012,0.00499976
21,0.177197,0.0408622,0.00540288
22,0.183875,0.0440649,0.00589254
23,0.192147,0.0479244,0.00659017
24,0.200479,0.0519341,0.00737496
25,0.207997,0.055822,0.0080418
26,0.214018,0.0593467,0.00867486
27,0.220271,0.0627671,0.0092594
28,0.226742,0.0663181,0.00981317
29,0.232508,0.0697061,0.0103345
30,0.236413,0.0729396,0.0107698
31,0.239514,0.0753389,0.011092
32,0.240719,0.0771517,0.0113435
33,0.24123,0.0785148,0.0115615
34,0.241339,0.0797441,0.011773
35,0.24157,0.0808656,0.0118819
36,0.241655,0.0818387,0.0119345
37,0.241959,0.0827811,0.0120496
38,0.242422,0.08367,0.0121884
39,0.243395,0.0849037,0.0123563
40,0.244794,0.0865145,0.0125723
41,0.247227,0.0888647,0.0128694
42,0.250779,0.0919436,0.0132626
43,0.25545,0.0950387,0.0137394
44,0.261349,0.0985227,0.0142889
45,0.269998,0.102735,0.0149271
46,0.278635,0.107532,0.0156768
47,0.287198,0.112942,0.0167282
48,0.297684,0.118944,0.0179014
49,0.305506,0.124434,0.0189068
50,0.314239,0.12921,0.0198464
51,0.321733,0.133639,0.0207164
52,0.328277,0.137807,0.0215202
53,0.333264,0.142163,0.0222517
54,0.336646,0.145958,0.0228597
55,0.33948,0.148826,0.0233103
56,0.341013,0.150808,0.0236467
57,0.341329,0.152334,0.0239239
58,0.341451,0.153711,0.0241868
59,0.341682,0.154991,0.0243238
60,0.341865,0.156286,0.0243953
61,0.341998,0.157421,0.0245479
62,0.342266,0.158611,0.024745
63,0.342655,0.160124,0.0249735
64,0.344224,0.162008,0.0252662
65,0.347107,0.164698,0.0256575
66,0.349893,0.168065,0.0261664
67,0.353895,0.171648,0.0267675
68,0.359843,0.175821,0.0274564
69,0.368285,0.180483,0.0282392
70,0.375779,0.185807,0.0291405
71,0.384829,0.191705,0.0303884
72,0.393064,0.197679,0.0317778
73,0.400375,0.203512,0.0330187
74,0.409072,0.208703,0.0341614
75,0.414376,0.21356,0.0352134
76,0.419059,0.217952,0.0361828
77,0.422988,0.222169,0.0370326
78,0.426066,0.225822,0.0377286
79,0.427075,0.228556,0.0382326
80,0.427696,0.23051,0.0385987
81,0.428231,0.232076,0.0388956
82,0.428486,0.233423,0.0391602
83,0.428839,0.234592,0.0392953
84,0.428936,0.235621,0.0393688
85,0.429009,0.236672,0.0395218
86,0.429204,0.237693,0.0397314
87,0.430019,0.238981,0.0399896
88,0.431235,0.240739,0.0403109
89,0.432488,0.243081,0.0407217
90,0.435006,0.246066,0.0412369
91,0.437768,0.249217,0.0418601
92,0.440955,0.25266,0.0425593
93,0.443436,0.256455,0.0433383
94,0.447657,0.260989,0.0442332
95,0.451416,0.265861,0.0454146
96,0.455771,0.270853,0.0467489
97,0.460515,0.275511,0.047966
98,0.46369,0.279433,0.0490906
99,0.466865,0.283268,0.0501094
100,0.469468,0.287025,0.0510387
101,0.47229,0.290588,0.0518253
102,0.473968,0.293526,0.0524443
103,0.475209,0.29577,0.0528809
104,0.475732,0.297599,0.0532015
105,0.475951,0.298997,0.053467
