index,Trivago,Spotify,Microsoft
1,0.0471,0.00806608,0.00646542
2,0.213884,0.0531733,0.0222197
3,0.394621,0.191014,0.0519907
4,0.625803,0.407703,0.0998004
5,0.779121,0.61682,0.169434
6,0.887103,0.769816,0.260322
7,0.944507,0.86634,0.36589
8,0.974151,0.923058,0.476071
9,0.988395,0.956146,0.581278
10,0.994952,0.975586,0.674711
11,0.998273,0.986826,0.753129
12,0.999513,0.993219,0.816384
13,0.999927,0.996536,0.865966
14,1,0.998229,0.903684
15,,0.999075,0.931738
16,,0.99955,0.952241
17,,0.999806,0.966993
18,,0.999937,0.977458
19,,0.999991,0.984782
20,,1,0.989877
21,,,0.993373
22,,,0.995732
23,,,0.997298
24,,,0.998321
25,,,0.998976
26,,,0.999387
27,,,0.999643
28,,,0.999806
29,,,0.999901
30,,,0.999952
31,,,0.999977
32,,,0.99999
33,,,0.999996
34,,,0.999999
35,,,1
36,,,1
37,,,1
38,,,1
